City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Macquarie,AU,50.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
3,Dera Bugti,PK,87.87,clear sky,29.0307,69.15100000000001,Nawab Bugti House
4,Port Hardy,CA,55.58,broken clouds,50.6996,-127.4199,Airport Inn
5,Thompson,CA,60.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
6,Nikolskoye,RU,60.69,broken clouds,59.7035,30.7861,Tourist House - Sablino
7,Mtwara,TZ,70.23,clear sky,-10.2667,40.1833,Til Hotels
8,Meulaboh,ID,74.19,heavy intensity rain,4.1363,96.1285,Kost Pria
11,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
13,Mersing,MY,75.11,broken clouds,2.4312,103.8405,Timotel Hotel
14,Sitka,US,53.49,light rain,57.0531,-135.33,Westmark Sitka
15,San Quintin,MX,65.57,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
16,Shenjiamen,CN,70.29,clear sky,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
17,Angoche,MZ,72.79,overcast clouds,-16.2325,39.9086,Guest House HESADA
18,Rikitea,PF,76.77,overcast clouds,-23.1203,-134.9692,Pension Maro'i
20,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
21,Santa Cruz,BO,73.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
22,Bandarbeyla,SO,78.87,clear sky,9.4942,50.8122,JABIR HOTEL
23,Lagoa,PT,63.82,overcast clouds,39.05,-27.9833,Casa Das Faias
24,Temerloh,MY,73.02,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
29,Mackay,AU,66.04,overcast clouds,-21.15,149.2,International Lodge Motel
30,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
31,Polis,CY,66.02,clear sky,35.0367,32.4264,Marion
33,Cheran,MX,64.8,overcast clouds,19.6833,-101.95,HOTEL ISABELLI CHERAN
34,Northam,GB,56.3,few clouds,51.0333,-4.2167,Durrant House Hotel
36,Jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
37,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
39,Byron Bay,AU,63.05,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
40,Castro,BR,60.35,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
41,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
43,Pokaran,IN,88.02,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
44,Jiuquan,CN,59.49,clear sky,39.7432,98.5174,Jiuquan Hotel
45,Berlin,DE,68.07,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
46,Prince Rupert,CA,51.89,light rain,54.3161,-130.3201,Crest Hotel
47,Inirida,CO,75.2,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
48,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,East London,ZA,62.28,clear sky,-33.0153,27.9116,Tu Casa
51,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
52,Yellowknife,CA,50.56,broken clouds,62.456,-114.3525,The Explorer Hotel
53,Ipixuna,BR,80.55,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
54,Passagem Franca,BR,77.07,broken clouds,-6.1797,-43.7836,Hotel Brasil
56,Lind,DK,59.14,overcast clouds,56.1,8.9833,Hotel Herning
57,Norman Wells,CA,51.84,light rain,65.282,-126.8329,Heritage Hotel
58,Demirci,TR,56.03,clear sky,39.0461,28.6589,Sungur Otel
59,Mogadishu,SO,78.82,scattered clouds,2.0371,45.3438,Hotel Juba
61,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
63,Encheng,CN,78.06,clear sky,22.1839,112.3026,Pinghu Hostel
65,Esperance,AU,57.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
