City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Contamana,-7.3333,-75.0167,80.91,79,100,2.73,PE,2021-06-06 21:39:19
1,Pitimbu,-7.4706,-34.8086,77.59,83,39,11.9,BR,2021-06-06 21:39:19
2,Hobart,-42.8794,147.3294,52.11,82,75,7.27,AU,2021-06-06 21:30:17
3,Cape Town,-33.9258,18.4232,68.41,32,0,10.8,ZA,2021-06-06 21:29:17
4,Punta Arenas,-53.15,-70.9167,41.11,75,0,11.83,CL,2021-06-06 21:31:10
5,Lavrentiya,65.5833,-171.0,34.61,92,100,3.6,RU,2021-06-06 21:39:20
6,Hilo,19.7297,-155.09,78.53,76,75,12.66,US,2021-06-06 21:39:21
7,Yantarnyy,54.8717,19.9381,53.46,73,78,7.85,RU,2021-06-06 21:39:21
8,Saint George,37.1041,-113.5841,104.47,11,1,8.01,US,2021-06-06 21:35:58
9,Airai,-8.9266,125.4092,55.11,78,54,2.71,TL,2021-06-06 21:31:18
10,Chokurdakh,70.6333,147.9167,38.05,71,99,6.13,RU,2021-06-06 21:39:22
11,Luderitz,-26.6481,15.1594,69.28,31,0,9.31,NA,2021-06-06 21:39:22
12,Namibe,-15.1961,12.1522,74.07,54,50,8.39,AO,2021-06-06 21:39:22
13,Touros,-5.1989,-35.4608,76.1,85,14,12.84,BR,2021-06-06 21:36:35
14,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,100,90,1.88,RU,2021-06-06 21:39:23
15,Narsaq,60.9167,-46.05,57.42,64,100,1.34,GL,2021-06-06 21:31:37
16,Bestobe,52.4994,73.0975,58.71,40,3,6.58,KZ,2021-06-06 21:39:24
17,Hofn,64.2539,-15.2082,47.1,95,94,12.33,IS,2021-06-06 21:39:24
18,Tasiilaq,65.6145,-37.6368,42.96,91,98,5.12,GL,2021-06-06 21:31:30
19,Provideniya,64.3833,-173.3,44.71,61,75,0.0,RU,2021-06-06 21:31:23
20,Atasu,48.6814,71.6433,55.27,38,73,9.89,KZ,2021-06-06 21:39:25
21,Rikitea,-23.1203,-134.9692,76.64,84,98,15.88,PF,2021-06-06 21:31:31
22,Isangel,-19.55,169.2667,71.71,68,75,11.36,VU,2021-06-06 21:39:26
23,Abu Samrah,35.3029,37.1841,67.3,42,0,7.47,SY,2021-06-06 21:39:26
24,Ratnagiri,16.9833,73.3,82.2,76,82,5.39,IN,2021-06-06 21:39:27
25,Kodiak,57.79,-152.4072,55.63,53,14,6.8,US,2021-06-06 21:38:39
26,Phalaborwa,-23.943,31.1411,58.28,81,22,6.58,ZA,2021-06-06 21:39:27
27,Thompson,55.7435,-97.8558,62.76,67,90,9.22,CA,2021-06-06 21:31:50
28,Jamestown,42.097,-79.2353,87.12,53,40,6.91,US,2021-06-06 21:27:02
29,Chicama,-7.8447,-79.1469,66.74,75,96,6.08,PE,2021-06-06 21:39:28
30,Gigmoto,13.7796,124.39,80.82,81,100,2.35,PH,2021-06-06 21:39:28
31,Lebu,-37.6167,-73.65,49.46,77,96,3.38,CL,2021-06-06 21:39:29
32,Mar Del Plata,-38.0023,-57.5575,54.12,67,0,1.01,AR,2021-06-06 21:29:10
33,Kaitangata,-46.2817,169.8464,47.44,79,89,3.62,NZ,2021-06-06 21:39:29
